"","    accession","     region","    country","                                    site","  population","     date","    study","   sample_ID","        exclude","                       source","                     doi","   X"
"","ERR018932:  1  ","seasia  :432  ","Peru    :219  ","OddarMeanchey                         : 56  ","WKH    : 37  ","2012   : 24  ","Min.   :1020  ","1044    :  1  ","no_accession:  1  ","Hupalo_2016               :395  ","10.1038/ng.3588        :395  ","Mode:logical  "
"","ERR019040:  1  ","samerica:352  ","Cambodia:182  ","AcreStateWesternBraziliamazon         : 47  ","VN     : 14  ","2009   : 17  ","1st Qu.:1044  ","PD0479-C:  1  ","PH1111-C    :  1  ","Parobek_2016              : 74  ","﻿10.1101/736702         :  7  ","NA's:995      "
"","ERR020103:  1  ","africa  : 52  ","Thailand:171  ","KanchaburiprovinceBongTeemalariaclinic: 37  ","PG     : 11  ","2010   : 16  ","Median :1048  ","PD0647-C:  1  ","tree        :  3  ","10.1038/s41467-018-04965-4:  1  ","10.1073/pnas.1608828113:  1  ",NA
"","ERR020124:  1  ","namerica: 43  ","Colombia: 70  ","Padrecocha                            : 25  ","BR     :  3  ","2011   : 10  ","Mean   :1068  ","PD0660-C:  1  ","NA's        :990  ","vanDorp_2019              :  1  ","10.1073/pnas.1608828114:  1  ",NA
"","ERR021980:  1  ","sasia   : 18  ","Brazil  : 61  ","Tapachula                             : 23  ","ETH    :  3  ","2008   :  7  ","3rd Qu.:1052  ","PD0661-C:  1  ",NA,"vanDorp_2020              :  1  ","10.1073/pnas.1608828115:  1  ",NA
"","(Other)  :989  ","(Other) : 17  ","(Other) :291  ","(Other)                               :128  ","(Other): 13  ","(Other):  8  ","Max.   :2012  ","(Other) : 77  ",NA,"(Other)                   :  5  ","(Other)                : 71  ",NA
"","NA's     :  1  ","NA's    : 81  ","NA's    :  1  ","NA's                                  :679  ","NA's   :914  ","NA's   :913  ","NA's   :913  ","NA's    :913  ",NA,"NA's                      :518  ","NA's                   :519  ",NA
