accession,region,country,site,population,date,study,sample_ID,exclude,source,doi
NA,NA,Indonesia,Papua Province,Mimika Regency,2/11/13,1154,PJ0125-CW,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,2/21/13,1154,PJ0128-C,no_accession,10.1038/s41467-018-04965-4,NA
ERR527373,NA,Indonesia (returning traveller),Papua Province,Uncertain,11/15/13,1157,PJ0167-C,NA,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,10/17/11,1154,PJ0273-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,10/26/11,1154,PJ0274-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,10/27/11,1154,PJ0275-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,11/24/11,1154,PJ0276-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,12/6/11,1154,PJ0277-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,12/6/11,1154,PJ0278-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,12/10/11,1154,PJ0279-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,12/13/11,1154,PJ0280-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,2/5/12,1154,PJ0281-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,2/16/12,1154,PJ0282-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,3/29/12,1154,PJ0283-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,4/4/12,1154,PJ0284-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,4/18/12,1154,PJ0285-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,5/16/12,1154,PJ0286-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,6/21/12,1154,PJ0287-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,7/20/12,1154,PJ0288-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,8/31/12,1154,PJ0289-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,10/3/12,1154,PJ0290-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,2/15/13,1154,PJ0291-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,3/27/13,1154,PJ0293-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,5/29/13,1154,PJ0294-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,6/18/13,1154,PJ0295-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,7/30/13,1154,PJ0296-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,9/9/13,1154,PJ0297-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,11/7/13,1154,PJ0298-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,11/25/13,1154,PJ0299-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,12/11/13,1154,PJ0300-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,2/26/14,1154,PJ0301-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,3/4/14,1154,PJ0302-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,3/6/14,1154,PJ0303-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,7/2/14,1154,PJ0305-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,8/6/14,1154,PJ0307-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,8/26/14,1154,PJ0309-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,2/8/13,1154,PJ0310-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,10/19/11,1154,PJ0312-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,2/5/12,1154,PJ0313-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,4/2/13,1154,PJ0314-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,5/18/13,1154,PJ0315-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,6/11/13,1154,PJ0316-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,8/26/13,1154,PJ0317-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,1/18/13,1154,PJ0318-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,2/20/14,1154,PJ0319-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,3/18/14,1154,PJ0320-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,8/5/14,1154,PJ0322-C,no_accession,10.1038/s41467-018-04965-4,NA
NA,NA,Indonesia,Papua Province,Mimika Regency,2/13/14,1154,PJ0323-C,no_accession,10.1038/s41467-018-04965-4,NA
ERR925443,NA,Indonesia (returning traveller),Papua Province,Uncertain,10/29/14,1157,PJ0324-C,NA,10.1038/s41467-018-04965-4,NA
